"","X","KeySignatureConfidence","Tempo","TimeSignature","TimeSignatureConfidence","Title","Year","ArtistFamiliarity","Hotness","end_of_fade_in","key","Loudness","mode","mode_confidence","rank","hit"
"1468",1468,0.596,"126.752",4,0,"black and white",1972,0.548019396335,"0.357981185546",0.334,"2",-5.836,1,0.657,63,0
"1469",1469,0.734,"130.187",4,0.687,"close your eyes",1967,0.64168930175,"0.572231584566",2.769,"2",-9.799,1,0.874,71,0
"1470",1470,0.03,"136.029",4,0.514,"woman",1981,0.63929841463,"0.41942518709",2.769,"8",-9.734,0,0.437,21,1
"1471",1471,0.721,"124.027",4,0.015,"jaded",2001,0.545127608155,"0.31216924156",0.258,"2",-6.172,1,0.632,47,1
"1473",1473,0.78,"100.103",3,0.751,"when a man loves a woman",1992,0.474914331411,"0.388204084729",0,"1",-19.019,1,0.735,54,0
"1474",1474,0.057,"129.899",4,0.348,"saturday night",1976,0.407719793312,"0.371329622919",3.622,"6",-12.864,0,0.505,64,0
"1475",1475,0.356,"82.016",4,0.688,"scars",2005,0.582112848028,"0.369652466432",0.186,"5",-18.667,1,0.477,36,1
"1476",1476,0.1,"120.039",4,1,"shine",1994,0.573983469072,"0.397501997958",0.483,"10",-9.925,1,0.494,31,1
"1478",1478,0.632,"187.921",7,0.848,"never again",2007,0.517871033983,"0.365808121089",0.479,"7",-7.272,0,0.745,70,0
"1479",1479,0.353,"129.515",3,0.523,"all you need is love",1967,0.434731457268,"0.397014488518",0,"2",-14.399,0,0.425,30,1
"1480",1480,0.504,"199.446",4,0,"the great escape",2007,0.630344639269,"0.33624766097",0,"5",-2.232,0,0.549,77,0
"1481",1481,0,"160.118",4,0.84,"make it with you",1970,0.51326447604,"0.334072668817",0.258,"4",-8.25,1,0.248,13,1
"1482",1482,0.755,"179.95",4,0.698,"i want you",2003,0.645552968432,"0.440827318315",0,"6",-7.237,0,0.673,95,0
"1483",1483,0.631,"127.981",4,0.422,"i like it",2010,0.573273961276,"0.37360907355",0.589,"6",-7.623,1,0.526,12,1
"1484",1484,0.667,"100.045",5,0.631,"real love",1993,0.445174516992,"0.416448589002",0.177,"7",-10.289,1,0.483,58,0
"1485",1485,0.542,"82.522",3,1,"breakaway",2005,0.734337639158,"0.4154469619",0,"11",-9.01,1,0.492,27,1
"1486",1486,0.693,"122.889",3,1,"we gotta get out of this place",1965,0.677391513586,"0.385329427196",0,"5",-9.461,1,0.614,86,0
"1487",1487,0.885,"130.884",5,0.555,"change of heart",1987,0.558796616476,"0.405059883131",0,"7",-5.553,1,0.71,61,0
"1488",1488,0.424,"138.039",4,0.602,"on my own",1986,0.538476548571,"0.332705516019",0,"10",-5.802,0,0.471,4,1
"1489",1489,0.674,"91.947",4,0,"oh what a night",1969,0.482965173709,"0.319828951794",0.357,"7",-7.585,1,0.635,82,0
"1490",1490,0.394,"50.463",1,0,"amazing grace",1971,0.534967973744,"0.0",2.38,"1",-12.513,1,0.589,80,0
"1492",1492,0.655,"130.018",4,1,"you and me",2006,0.748256335413,"0.45598147062",5.201,"9",-8.472,0,0.598,83,0
"1493",1493,0.69,"128.005",4,0,"crash and burn",2000,0.782773690863,"0.500946099768",0.154,"7",-5.854,1,0.566,78,0
"1494",1494,0.51,"105.002",4,0.106,"now that we found love",1991,0.600225865212,"0.443108215708",0.194,"10",-6.365,0,0.411,67,0
"1495",1495,0.582,"112.209",7,1,"every breath you take",1983,0.630592219778,"0.568118130558",0.105,"6",-10.306,1,0.612,1,1
"1496",1496,0.224,"77.278",4,0.625,"on fire",2004,0.743129776148,"0.489213126827",0,"8",-6.843,0,0.292,55,0
"1497",1497,0.475,"132.359",4,0.393,"desire",1988,0.43331194243,"0.317785845087",0,"10",-13.416,0,0.518,56,0
"1498",1498,0.912,"83.057",4,0.832,"thinking of you",1989,0.332737733222,"0.245074910794",8.777,"2",-13.487,1,0.848,96,0
"1499",1499,0.45,"137.743",3,0.706,"walk like an egyptian",1987,0.722271136941,"0.525363859309",0.273,"4",-11.634,0,0.398,1,1
"1500",1500,0.882,"89.928",4,0,"the letter",1970,0.49957847396,"0.0",0,"10",-3.083,1,0.665,80,0
"1501",1501,0.609,"141.033",4,1,"fly away",1999,0.649907304584,"0.430003495778",3.715,"4",-7.69,1,0.525,29,1
"1503",1503,0,"118.94",4,1,"passion",1991,0.482831177878,"0.376236720996",0.432,"4",-12.441,1,0,40,1
"1504",1504,0.582,"93.352",5,0.959,"guilty",1981,0.439275616947,"0.350204116717",2.113,"11",-13.139,1,0.462,29,1
"1505",1505,0.724,"133.096",4,0.943,"you can do magic",1982,0.602058835618,"0.468797401926",0,"4",-9.441,0,0.586,65,0
"1507",1507,0.593,"106.994",7,0.306,"misty",1975,0.536802943995,"0.329237808195",0.473,"7",-13.529,1,0.621,92,0
"1508",1508,0.581,"157.163",1,0,"if",1993,0.446256666541,"0.346357522243",3.495,"5",-22.41,1,0.422,19,1
"1509",1509,0.246,"129.057",5,0.671,"treat her right",1965,0.520295514857,"0.383648651043",0.305,"8",-9.61,1,0.453,95,0
"1510",1510,0.604,"75.864",4,0.183,"heart and soul",1987,0.443533358235,"0.343809324757",0,"2",-15.574,1,0.584,33,1
"1511",1511,0.434,"127.458",1,0,"i want you",2003,0.763321277065,"0.484479771649",0.461,"11",-8.816,0,0.589,95,0
"1512",1512,0.236,"132.998",4,0,"rainy night in georgia",1970,0.503093175104,"0.369846427051",0,"10",-12.562,1,0.133,37,1
"1513",1513,0.188,"85.982",4,0.033,"how much i feel",1979,0.523293068817,"0.375824829146",0.282,"0",-11.563,0,0.654,84,0
"1515",1515,0.083,"96.887",3,0.735,"7",1993,0.549613760094,"0.409682076518",0.218,"2",-16.491,0,0.314,52,0
"1516",1516,0.914,"101.715",4,0,"give a little bit",1977,0.573446098406,"0.492011916969",0.2,"9",-7.813,1,0.794,78,0
"1517",1517,0.736,"155.004",4,0.537,"come back to me",1990,0.710494896533,"0.432899565749",0,"9",-8.425,0,0.653,49,1
"1518",1518,0.077,"71.025",3,0.53,"gold",1979,0.554901168525,"0.377214268893",0.439,"6",-12.307,0,0.453,51,0
"1519",1519,0.744,"130.964",4,0,"boogie wonderland",1979,0.712329098129,"0.550917938283",0.09,"2",-9.02,0,0.786,57,0
"1520",1520,0.714,"120.594",4,0.651,"stand back",1983,0.623154283971,"0.429353514999",0.13,"0",-8.362,1,0.448,44,1
"1521",1521,0.51,"97.881",4,1,"shake",1965,0.448734699891,"0.235477094764",2.357,"3",-5.881,1,0.508,66,0
"1522",1522,0.502,"164.886",1,0,"never can say goodbye",1975,0.503444468256,"0.349132113602",0.287,"6",-9.816,1,0.444,71,0
"1523",1523,0.378,"86.099",1,0.169,"keep on loving you",1981,0.74260176225,"0.528005282886",0.212,"0",-12.523,1,0.521,10,1
"1524",1524,0.049,"114.987",4,0.494,"car wash",1977,0.613345257264,"0.396751814092",0,"0",-10.367,0,0.205,26,1
"1525",1525,0.161,"84.027",4,0,"treat me right",1981,0.631726354781,"0.351393925628",0.351,"7",-13.028,1,0.615,83,0
"1526",1526,1,"97.458",4,1,"bernadette",1967,0.494624964963,"0.370184485603",0.415,"2",-14.602,1,0.81,82,0
"1527",1527,0.264,"121.983",7,0.853,"why",2004,0.5915597569,"0.379425760548",0.165,"0",-8.48,0,0.389,62,0
"1528",1528,0.401,"150.142",4,0.667,"united we stand",1970,0.718995862813,"0.476887351234",0.322,"8",-5.099,1,0.503,64,0
"1529",1529,0.65,"130.01",4,0.538,"self control",1984,0.619336739769,"0.395720307555",0,"11",-4.414,0,0.572,20,1
"1531",1531,0.923,"114.743",4,0,"whole wide world",1990,0.600513723586,"0.422593316738",0.718,"5",-9.277,1,0.844,95,0
"1532",1532,0.858,"110.008",4,0.945,"music",2001,0.512856431452,"0.379822707927",0,"10",-11.446,0,0.746,83,0
"1533",1533,0.595,"154.059",4,0.253,"far away",2007,0.678690903686,"0.514576320593",0,"0",-8.75,1,0.515,94,0
"1534",1534,0.146,"77.435",3,0.882,"smile",2010,0.437710825702,"0.322849109564",3.599,"9",-15.009,0,0.471,97,0
"1535",1535,0.475,"82.668",3,0.875,"sometimes",1999,0.636646974117,"0.382464084099",3.541,"7",-7.25,1,0.47,86,0
"1536",1536,0.601,"86.873",4,0.458,"stronger",2007,0.497307512275,"0.342406391105",0.334,"0",-12.747,1,0.578,27,1
"1537",1537,0.381,"85.32",5,0.907,"superstar",2008,0.5603751956,"0.347883137697",0.183,"4",-12.436,0,0.267,63,0
"1539",1539,0.372,"122.731",4,0.44,"bad medicine",1988,0.534845052912,"0.326450878523",2.026,"11",-6.912,0,0.426,41,1
"1540",1540,0.045,"102.077",4,0.971,"sunshine",2004,0.472363849343,"0.200186489105",0.186,"2",-8.694,1,0.378,20,1
"1541",1541,0.289,"104.446",1,0,"i miss you",1995,0.591696068822,"0.387333145782",0,"11",-10.136,0,0.41,96,0
"1543",1543,0.554,"91.979",3,1,"9 to 5",1981,0.792671716317,"0.399386665266",0.138,"2",-6.171,0,0.87,9,1
"1546",1546,0.474,"160.144",4,0.996,"everything",1990,0.728419110997,"0.560471985677",0.084,"11",-6.034,0,0.525,41,1
"1547",1547,0.974,"124.0",4,1,"alright",1993,0.733831789366,"0.564373259701",0,"0",-4.771,1,0.463,85,0
"1548",1548,0.015,"108.541",4,0.134,"jungle boogie",1974,0.721389313472,"0.479685359361",0.273,"0",-9.302,1,0.296,12,1
"1549",1549,0.536,"171.36",4,0.389,"i wish it would rain",1968,0.500201957336,"0.346298440425",0,"10",-12.797,1,0.346,22,1
"1550",1550,0.541,"117.723",4,1,"cross my broken heart",1987,0.632662317992,"0.391242506015",0,"7",-7.267,1,0.591,90,0
"1551",1551,0.794,"107.18",4,0.39,"take a chance on me",1978,0.74865929586,"0.575691128555",3.239,"6",-8.363,1,0.529,32,1
"1552",1552,0,"177.321",1,0,"come together",1969,0.480775994539,"0.364825608669",2.107,"5",-6.486,0,0.132,85,0
"1553",1553,0.037,"130.036",4,0.891,"you",2007,0.617443588074,"0.442328956489",0,"0",-8.549,0,0.286,40,1
"1554",1554,0.622,"129.426",4,1,"georgy girl",1967,0.5557649996,"0.376514231215",0.456,"3",-11.664,1,0.409,57,0
"1555",1555,0.64,"127.985",4,0.059,"let the music play",1984,0.700438088904,"0.450485081333",12.359,"1",-16.767,1,0.482,49,1
"1556",1556,0.705,"104.206",4,0.398,"falling",1978,0.686891942565,"0.366214791516",0.136,"0",-7.691,1,0.65,79,0
"1557",1557,0.389,"70.258",4,0,"the bells",1970,0.653021653772,"0.462785683366",3.129,"7",-9.946,1,0.614,82,0
"1558",1558,0.235,"135.95",1,0.259,"spinning wheel",1969,0.750112125537,"0.433159162811",0.575,"7",-13.808,1,0.369,27,1
"1559",1559,0.626,"148.185",3,0.326,"contagious",2001,0.550180588303,"0.30068114965",0,"8",-13.334,1,0.562,81,0
"1561",1561,0.726,"125.127",4,0.88,"take me back",1965,0.733053578191,"0.531720422663",0,"6",-3.602,1,0.707,91,0
"1562",1562,0.573,"191.368",4,0,"give it up",1984,0.575551652335,"0.448697815654",2.142,"2",-7.061,1,0.545,75,0
"1563",1563,0.629,"126.981",4,0.542,"i love you",2002,0.741195239475,"0.39579354591",0.113,"0",-7.743,1,0.598,60,0
"1564",1564,0.717,"123.945",4,1,"losing my religion",1991,0.475723548132,"0.331834719946",0.438,"11",-7.578,0,0.731,33,1
"1566",1566,0.829,"106.749",4,0,"spooky",1968,0.518545891589,"0.399605264708",1.158,"0",-11.859,0,0.522,26,1
"1567",1567,0.356,"92.376",4,0.864,"get down",1973,0.622005388118,"0.451578962861",0,"3",-7.6,1,0.249,66,0
"1568",1568,0.008,"131.934",4,0,"down",2010,0.842536375556,"0.711333470088",0.323,"4",-5.185,1,0.256,41,1
"1569",1569,0.731,"132.003",4,0.626,"always",1995,0.786427083379,"0.512226738318",2.92,"1",-3.151,1,0.787,17,1
"1570",1570,0.917,"114.973",4,0.879,"crush",2008,0.502639192246,"0.203715772229",0.491,"1",-6.435,1,0.865,76,0
"1572",1572,0.795,"92.954",4,1,"i remember",2008,0.697159734033,"0.512328858933",2.078,"6",-10.529,0,0.857,89,0
"1573",1573,0.835,"151.135",4,0.376,"run away",1995,0.562282347297,"0.367738816864",0.392,"2",-5.365,1,0.71,38,1
"1574",1574,0.738,"117.376",4,1,"blue bayou",1978,0.777305258908,"0.53108840351",5.19,"5",-16.228,1,0.57,61,0
"1575",1575,0.493,"101.702",7,1,"making love",1982,0.312778767623,"0.254871712402",0.357,"7",-8.851,0,0.727,46,1
"1576",1576,0.134,"94.358",5,1,"bad boy",1986,0.631701325387,"0.468394761291",0,"6",-5.026,0,0.366,79,0
"1577",1577,0.325,"73.364",1,0,"helen wheels",1974,0.765288150834,"0.588778695087",0.353,"1",-6.383,0,0.527,91,0
"1578",1578,0.259,"139.118",4,0.654,"hold on",1995,0.569651042252,"0.362756396366",5.602,"7",-15.235,1,0.64,52,0
"1579",1579,0.636,"145.013",1,0.555,"summertime",1991,0.622617471935,"0.400199559546",0.223,"10",-7.766,1,0.625,38,1
"1580",1580,0.259,"95.379",4,0.281,"the next episode",2000,0.883143665005,"0.736085314699",0,"6",-3.062,1,0.44,76,0
"1581",1581,0.474,"224.002",4,0,"live and learn",1992,0.589472333271,"0.410631567554",0.183,"11",-8.422,0,0.519,30,1
"1582",1582,0.598,"130.07",4,0.636,"all for you",2001,0.628796477433,"0.493656500366",0.212,"0",-5.207,1,0.512,3,1
"1583",1583,0.519,"214.173",4,0.077,"centerfold",1982,0.645184377402,"0.469529361062",0.258,"1",-3.831,1,0.332,5,1
"1584",1584,0.389,"102.418",4,1,"how low",2010,0.769869427623,"0.543955191644",0,"9",-9.628,0,0.517,36,1
"1586",1586,0.782,"160.56",4,0.212,"still",1980,0.733673857877,"0.381725111542",0.166,"2",-4.441,1,0.744,23,1
"1587",1587,0.43,"167.044",1,0,"wipe out",1966,0.590994223819,"0.475026044388",2.159,"11",-14.883,1,0.595,63,0
"1589",1589,0.644,"91.026",4,0.775,"funkdafied",1994,0.560769702469,"0.359997586565",0.148,"11",-7.373,0,0.687,37,1
"1590",1590,0.694,"122.716",5,0.569,"standing still",2002,0.679172486932,"0.443322693107",0.151,"7",-5.334,1,0.779,87,0
"1592",1592,0.628,"150.101",3,1,"amazing grace",1971,0.409827635028,"0.291883421788",0.435,"0",-24.578,1,0.529,80,0
"1593",1593,0.082,"100.155",4,1,"if you leave",1986,0.362491522523,"0.314451218307",0,"8",-8.042,1,0.399,53,0
"1595",1595,0.651,"146.481",4,1,"you",2007,0.61155583379,"0.349776895322",0.132,"2",-15.45,1,0.768,40,1
"1596",1596,0.547,"121.815",1,0,"rapture",1981,0.577973752903,"0.368336782246",2.409,"1",-20.778,1,0.681,15,1
"1597",1597,0.575,"94.071",4,0.98,"you gotta be",1995,0.643548019407,"0.441852949489",0.24,"0",-12.577,1,0.495,20,1
"1598",1598,0.09,"105.702",4,0.751,"hold on",1995,0.756832110284,"0.557524821472",0,"10",-14.598,0,0.259,52,0
"1599",1599,0.231,"119.726",1,0,"rainy days and mondays",1971,0.640574149168,"0.454714841079",0.223,"1",-17.163,0,0.463,37,1
"1600",1600,1,"84.952",4,0,"cover me",1984,0.745844867409,"0.511892124936",0,"9",-17.202,1,0.704,67,0
"1601",1601,0.127,"115.761",5,0.629,"the first time",1991,0.571181638612,"0.363347760839",0.235,"6",-13.116,1,0.476,9,1
"1602",1602,0.534,"144.092",4,0.527,"my love",2007,0.77708242633,"0.553736196336",0.833,"0",-5.733,1,0.547,26,1
"1603",1603,0.384,"102.641",3,1,"when the sun goes down",2004,0.499264915852,"0.350709058487",2.531,"7",-9.408,1,0.532,89,0
"1604",1604,0.98,"149.154",1,0,"gloria",1983,0.514624264967,"0.369511565168",0,"9",-13.415,1,0.743,56,0
"1605",1605,0.052,"85.279",3,0.882,"get it shawty",2007,0.802177330823,"0.521110247396",0.189,"5",-4.2,0,0.212,51,0
"1606",1606,0.467,"140.06",4,0.163,"i love you",2002,0.454217259714,"0.364040588885",0.254,"0",-13.579,1,0.49,60,0
"1607",1607,0.914,"152.046",4,0,"psychotic reaction",1966,0.557434898237,"0.458570955363",0.287,"11",-12.013,1,0.625,64,0
"1609",1609,0.473,"128.982",4,0.63,"how do i live",1998,0.385061632786,"0.29090402969",0.583,"2",-12.319,1,0.619,5,1
"1610",1610,0.259,"179.127",3,0.908,"falling",1978,0.546871489942,"0.365879180864",0.34,"9",-6.082,0,0.309,79,0
"1611",1611,0.421,"103.071",1,0.043,"heart and soul",1987,0.496578006127,"0.337404977079",0.063,"5",-21.611,1,0.434,33,1
"1612",1612,0,"99.286",4,1,"tracy",1969,0.611171822059,"0.399967757659",0.369,"2",-8.759,1,0,81,0
"1613",1613,0.518,"121.981",4,0.733,"thriller",1984,0.63760114279,"0.461643531809",0,"7",-5.504,1,0.804,78,0
"1614",1614,0.031,"106.974",4,0.339,"slow down",2005,0.514624264967,"0.369511565168",0,"0",-13.258,0,0.235,47,1
"1615",1615,0.297,"161.852",4,0.742,"diamonds and pearls",1992,0.762317610322,"0.484566708419",2.386,"7",-13.336,0,0.513,25,1
"1616",1616,0.43,"112.946",4,0.645,"hold on",1995,0.576119969449,"0.348516720661",0.113,"2",-5.043,1,0.581,52,0
"1617",1617,0.523,"140.152",1,0.16,"mississippi queen",1970,0.513571288758,"0.319280742688",0.16,"9",-6.891,1,0.353,78,0
"1618",1618,0.275,"98.994",4,0.781,"play",2005,0.585549167569,"0.428416957173",0,"10",-8.443,0,0.442,51,0
"1619",1619,0.021,"161.481",4,1,"irresistible",2001,0.54722814783,"0.364787348408",0,"7",-3.741,1,0.288,63,0
"1620",1620,0.987,"140.283",4,0.83,"girlfriend",2007,0.600513723586,"0.422593316738",0.606,"10",-18.021,1,0.748,12,1
"1621",1621,0.83,"73.922",4,0.148,"get up",2006,0.464587364384,"0.31810244671",0,"4",-8.722,1,0.711,80,0
"1622",1622,0.566,"93.914",4,0.947,"macarthur park",1979,0.606895397189,"0.369961764767",0.392,"5",-14.866,1,0.564,12,1
"1623",1623,0.804,"127.971",4,0.175,"then came you",1974,0.627997389723,"0.365339652714",0,"0",-7.132,0,0.584,47,1
"1624",1624,0.455,"90.817",4,0.798,"butterflies",2002,0.685924871963,"0.508369373686",1.025,"2",-10.39,0,0.148,64,0
"1625",1625,-87.63241,"Gil Scott-Heron",0,303.80363,"7",1993,0.96,"A Sign of the Ages",1971,"b5b89643-c488-4f39-a302-25cab31084a5",0.674976018785,0.554349115976,0.136,52,0
"1626",1626,0.501,"156.073",4,0,"alone again naturally",1972,0.535419720613,"0.36684344658",0.241,"5",-10.292,1,0.489,2,1
"1627",1627,0.451,"211.582",3,0.797,"use me",1972,0.563583586258,"0.388527293306",0.305,"0",-11.201,1,0.45,78,0
"1628",1628,0.553,"85.262",1,0.477,"i wanna know",2000,0.54003774898,"0.360053306539",1.181,"5",-7.537,1,0.508,4,1
"1629",1629,0.381,"92.646",3,0.964,"gone",2002,0.435312055366,"0.313425862618",0.183,"2",-15.602,0,0.455,75,0
"1630",1630,0.511,"106.711",1,0,"the sound of silence",1966,0.796493401551,"0.510324986101",0,"6",-18.995,1,0.625,54,0
"1631",1631,0.558,"105.999",4,0.713,"if you go",1994,0.656286161258,"0.47604395532",0.659,"2",-7.109,1,0.635,23,1
"1633",1633,1,"74.17",1,0,"help me make it through the night",1971,0.281714298343,"0.0",0.264,"9",-12.764,1,0.804,36,1
"1634",1634,0.73,"109.574",4,1,"take me back",1965,0.428252654267,"0.351023682295",0.427,"10",-15.969,0,0.424,91,0
"1635",1635,0.495,"71.382",1,0.799,"sometimes",1999,0.440566990314,"0.264293058297",0,"2",-25.567,0,0.627,86,0
"1636",1636,0.401,"89.936",4,0.085,"wait",1988,0.492767921871,"0.36561107792",0.122,"9",-8.562,1,0.372,99,0
"1638",1638,0.554,"97.424",4,0.721,"everyday",1994,0.79327484609,"0.499761059939",0,"8",-17.288,1,0.556,86,0
"1639",1639,0.592,"146.971",4,0.002,"that girl",1996,0.507114597285,"0.0",2.926,"2",-9.444,1,0.554,90,0
"1640",1640,0.415,"147.958",4,0.483,"never",1986,0.585018710375,"0.424798397367",0.27,"4",-13.499,0,0.449,18,1
"1641",1641,0.5,"78.839",5,0.602,"the climb",2009,0.503098332227,"0.476415217736",0.328,"5",-5.934,1,0.66,21,1
"1642",1642,0.398,"95.754",1,0.184,"slide",1999,0.560398473989,"0.349835857513",2.426,"9",-6.608,0,0.453,13,1
"1643",1643,0.13,"87.363",5,1,"taxi",1972,0.571303559244,"0.428919587382",0,"7",-3.895,1,0.472,85,0
"1644",1644,1,"162.263",1,0,"the last time",1965,0.604688351478,"0.363636867143",0,"2",-7.184,1,0.743,88,0
"1645",1645,1,"169.981",4,0.371,"thank you",2001,0.711017021095,"0.432695228859",0.09,"1",-6.08,0,0.832,8,1
"1646",1646,0.225,"103.951",4,1,"bleeding love",2008,0.91725465494,"0.602637393412",0.31,"5",-6.343,1,0.138,2,1
"1647",1647,0,"38.391",4,0,"gone",2002,0.382280689596,"0.318020646791",0.131,"3",-13.447,1,0,75,0
"1648",1648,0.448,"164.346",4,0.462,"lose control",2005,0.499772077344,"0.402783754313",0.392,"5",-8.776,0,0.427,14,1
"1649",1649,0.217,"125.988",4,0,"no no no",1998,0.531829215775,"0.345734866164",0,"4",-5.207,1,0.5,12,1
"1651",1651,0,"64.015",4,0,"summer love",2007,0.444330559485,"0.34238375873",0.612,"0",-10.18,1,0,39,1
"1652",1652,0.003,"123.858",4,0.689,"ready or not",1990,0.690663467401,"0.435553160074",3.367,"7",-11.683,1,0.418,54,0
"1653",1653,0.764,"121.956",4,1,"temptation",1991,0.568231416579,"0.540826178862",0,"0",-5.165,1,0.567,58,0
"1654",1654,0.116,"96.903",4,0,"oh no",1982,0.543068697527,"0.329128345834",0.346,"7",-10.518,1,0.467,69,0
"1655",1655,0.412,"114.006",5,0.903,"one",1999,0.637181283968,"0.44913995104",2.798,"2",-8.737,1,0.493,70,0
"1656",1656,0.76,"87.384",5,0.714,"tell me",1996,0.384340815943,"0.266608317525",0.328,"5",-5.187,1,0.658,58,0
"1657",1657,0.003,"89.104",5,0.785,"amazing grace",1971,0.467318921926,"0.346683794514",0.34,"7",-13.723,1,0.207,80,0
"1658",1658,0.655,"81.302",1,0,"proud mary",1971,0.251418810155,"0.466120647971",0.63,"1",-15.655,1,0.596,55,0
"1659",1659,0.094,"115.987",4,0,"living in america",1986,0.605640198304,"0.358828423863",0.165,"8",-8.917,1,0.332,65,0
"1660",1660,0.611,"132.007",4,0.286,"here i am",1982,0.555184196138,"0.371707209793",0,"11",-4.143,0,0.449,80,0
"1661",1661,0.465,"136.026",4,0,"elenore",1968,0.566478268196,"0.406235217348",0,"11",-7.673,0,0.407,80,0
"1662",1662,0.438,"130.047",4,0.342,"rain",1993,0.640828839476,"0.389560816539",0.38,"2",-4.18,0,0.51,67,0
"1663",1663,0.473,"99.927",4,0.167,"love song",2008,0.564851979536,"0.381749640796",0.294,"11",-5.385,0,0.515,7,1
"1664",1664,0.369,"137.158",4,0.104,"falling",1978,0.607562417426,"0.434607401264",0,"0",-12.077,1,0.343,79,0
"1665",1665,0.2,"159.907",4,0.941,"believe",1999,0.511178878029,"0.368420288103",0,"8",-4.044,0,0.364,1,1
"1666",1666,0.659,"128.389",4,0.627,"3",2010,0.695410780821,"0.470377511449",0.403,"6",-15.797,0,0.96,69,0
"1667",1667,0.507,"91.188",4,0.825,"sometimes",1999,0.710251915639,"0.537287271186",0.264,"9",-4.976,1,0.492,86,0
"1668",1668,0.303,"123.766",4,0.862,"sos",2006,0.476537365305,"0.433309456081",0.155,"0",-6.008,0,0.531,19,1
"1670",1670,0.834,"138.288",3,1,"billie jean",1983,0.772420289592,"0.578971661759",0.166,"4",-5.99,0,0.825,2,1
"1671",1671,0.51,"132.083",4,0,"miles away",1991,0.427877544115,"0.0",0.34,"7",-7.074,1,0.545,97,0
"1673",1673,0.56,"90.802",4,0.462,"money",1973,0.478232153754,"0.364968608273",0.189,"2",-9.979,1,0.616,92,0
"1674",1674,0.023,"99.508",3,0.387,"when i need you",1977,0.627056806746,"0.397045043836",3.553,"10",-9.935,1,0.272,24,1
"1678",1678,0.544,"100.064",4,0.899,"true blue",1986,0.591253149386,"0.35644429476",0.418,"0",-8.949,1,0.567,76,0
"1679",1679,0.148,"125.493",4,0,"think",1968,0.382720017024,"0.305101217075",0.652,"0",-6.954,0,0.332,94,0
"1680",1680,0.696,"103.039",4,0.329,"candy shop",2005,0.478376541833,"0.361946149639",0.158,"9",-9.658,1,0.531,8,1
"1683",1683,0.588,"92.446",1,0.468,"me and mrs jones",1973,0.608804792835,"0.403381085197",2.746,"3",-17.099,1,0.563,15,1
"1685",1685,1,"120.14",4,0.956,"no time",1997,0.480168727006,"0.376008735721",0,"2",-9.592,1,0.877,80,0
"1686",1686,0.049,"87.998",3,0.876,"all night long",1999,0.420427482114,"0.278982732904",5.927,"10",-7.865,1,0.115,74,0
"1687",1687,0.739,"110.887",4,0.94,"giving it up for your love",1981,0.490303980374,"0.334415270675",0.218,"0",-6.546,1,0.557,60,0
"1688",1688,0.414,"40.869",4,0,"finally",1992,0.379376130226,"0.20429864053",0.52,"10",-24.815,1,0.463,20,1
"1689",1689,0.521,"120.0",4,0,"every breath you take",1983,0.541133881614,"0.396530941796",0.16,"7",-10.739,1,0.545,1,1
"1690",1690,0.435,"119.888",4,1,"borderline",1984,0.915823253033,"0.665576619159",0.213,"4",-5.906,0,0.399,35,1
"1691",1691,0.44,"162.39",4,0.636,"rise",1980,0.515045413805,"0.356476771336",0,"4",-11.177,0,0.473,54,0
"1692",1692,0.875,"88.874",4,0.98,"show me love",1998,0.701260700538,"0.418894704702",0.229,"11",-7.401,1,0.663,29,1
"1693",1693,0.344,"123.948",4,0.584,"black balloon",1999,0.687294463335,"0.517170480632",2.595,"7",-12.03,0,0.497,64,0
"1694",1694,0.212,"114.034",4,0.622,"rock with you",1980,0.544570076716,"0.341500493356",0.224,"10",-5.125,0,0.395,4,1
"1695",1695,0.611,"88.813",1,0.689,"on my own",1986,0.48577265602,"0.355546527271",0.355,"2",-9.232,1,0.661,4,1
"1696",1696,0.181,"152.406",4,0.325,"the letter",1970,0.673095009243,"0.467842584873",0.402,"7",-7.317,1,0.221,80,0
"1697",1697,0.484,"93.336",5,1,"together",1981,0.602225907248,"0.465394736451",0,"2",-11.277,1,0.406,53,0
"1699",1699,0.562,"145.002",4,0.226,"secret",1995,0.716931887288,"0.447753692182",0.171,"9",-9.075,0,0.457,71,0
"1700",1700,0.178,"102.922",4,0.209,"hold me tight",1968,0.464494880313,"0.459949021411",0.113,"2",-6.187,0,0.314,37,1
"1701",1701,0.379,"139.313",1,0,"promises",1979,0.524749454744,"0.276285655407",0,"2",-6.59,1,0.448,82,0
"1702",1702,0.687,"131.809",7,1,"take on me",1985,0.631528267167,"0.37699025214",0.16,"1",-9.26,1,0.522,10,1
"1703",1703,0.695,"127.984",4,1,"kiss me thru the phone",2009,0.806008764097,"0.599145317678",2.891,"11",-6.367,0,0.331,19,1
"1705",1705,0.102,"102.978",4,0.746,"this is it",1980,0.702080715002,"0.514489130666",0.061,"0",-8.277,0,0.155,28,1
"1706",1706,0.192,"106.665",4,0.915,"smoke on the water",1973,0.48170358567,"0.342626790602",0.252,"9",-12.575,1,0.196,50,0
"1707",1707,0.52,"112.836",3,0.128,"on the radio",1980,0.528733975122,"0.460151111016",0.41,"10",-7.015,1,0.492,52,0
"1708",1708,0.29,"124.013",4,0.857,"what is love",1994,0.711069812194,"0.43981204386",1.274,"0",-6.613,1,0.596,97,0
